"Year","Region_name","All_motor_vehicles",
"2012","South East","24434"
"2002","London","17269"
"2021","London","54501"
"2017","North West","10291"
"2019","Yorkshire and the Humber","130"
"2007","East of England","31753"
"2009","Scotland","9330"
"2015","South East","12821"
"2005","South East","115483"
"2007","East of England","30180"
"2018","London","7534"
"2017","North West","11908"
"2002","South East","3590"
"2008","South East","22274"
"2010","London","738"
"2012","East of England","145"
"2000","Scotland","8116"
"2013","North East","1680"
"2004","Scotland","1488"
"2012","West Midlands","1064"
"2004","South West","47935"
"2013","North West","11307"
"2018","North West","23696"
"2000","Scotland","6239"
"2006","South East","4380"
"2020","South West","610"
"2012","North West","14915"
"2004","West Midlands","13837"
"2004","Wales","1805"
"2018","South West","1781"
"2019","London","4507"
"2003","East Midlands","5632"
"2021","South West","1337"
"2021","East Midlands","15350"
"2008","East of England","2392"
"2017","Scotland","20172"
"2016","Wales","6926"
"2006","South East","96868"
"2012","West Midlands","13826"
"2001","East Midlands","10604"
"2000","West Midlands","9745"
"2006","Yorkshire and the Humber","22279"
"2000","Yorkshire and the Humber","12512"
"2001","East Midlands","27399"
"2019","East Midlands","6783"
"2019","Yorkshire and the Humber","35573"
"2013","Scotland","71927"
"2017","North West","797"
"2019","East Midlands","45649"
"2004","Scotland","3529"
"2004","London","17329"
"2009","Scotland","146"
"2019","Scotland","32"
"2017","South West","12803"
"2004","West Midlands","85006"
"2000","Scotland","31794"
"2019","East Midlands","2834"
"2002","South East","1670"
"2014","Scotland","7474"
"2012","West Midlands","534"
"2009","North West","15518"
"2004","North West","1918"
"2013","Yorkshire and the Humber","28672"
"2016","Scotland","1787"
"2010","East Midlands","859"
"2013","Yorkshire and the Humber","50824"
"2003","East Midlands","9535"
"2008","South East","46775"
"2006","Yorkshire and the Humber","17665"
"2017","Scotland","3099"
"2004","Wales","19055"
"2018","North West","28091"
"2008","South West","13797"
"2005","Wales","1855"
"2020","South East","11516"
"2013","Scotland","30397"
"2001","North East","7015"
"2010","Scotland","17632"
"2017","East Midlands","22068"
"2001","South East","10161"
"2004","South East","33486"
"2017","Wales","8147"
"2002","East of England","13301"
"2017","South West","324"
"2011","South East","348"
"2019","South East","1471"
"2020","Scotland","5769"
"2012","Scotland","25509"
"2012","Yorkshire and the Humber","25992"
"2007","North West","9196"
"2018","Yorkshire and the Humber","11392"
"2017","West Midlands","18412"
"2019","Wales","5276"
"2019","Scotland","1378"
"2018","Yorkshire and the Humber","2558"
"2021","Scotland","935"
"2018","Yorkshire and the Humber","324"
"2014","East Midlands","32185"
"2014","Yorkshire and the Humber","16885"
"2017","North West","14089"
"2001","Wales","8330"
"2008","South West","1723"
"2007","North West","12615"
"2001","Wales","2501"
"2010","East Midlands","4519"
"2003","South East","14635"
"2016","East of England","12441"
"2005","Yorkshire and the Humber","14577"
"2018","North West","105468"
"2005","North West","26304"
"2011","West Midlands","32849"
"2009","North West","139370"
"2011","Yorkshire and the Humber","2198"
"2016","East of England","15810"
"2009","London","16775"
"2008","Yorkshire and the Humber","25789"
"2003","Yorkshire and the Humber","13821"
"2017","South East","25702"
"2015","Yorkshire and the Humber","11768"
"2003","South East","11492"
"2004","South East","9721"
"2007","West Midlands","36343"
"2017","South East","14657"
"2003","South East","31626"
"2007","South East","6190"
"2013","East of England","10955"
"2013","Scotland","1202"
"2018","Scotland","1833"
"2020","North West","5088"
"2006","East of England","16580"
"2020","North West","52425"
"2017","Yorkshire and the Humber","482"
"2004","London","20721"
"2019","West Midlands","254"
"2006","East Midlands","13373"
"2015","South East","10217"
"2004","South East","4635"
"2009","London","18370"
"2013","North West","344"
"2005","South East","13512"
"2017","South West","548"
"2012","South West","1412"
"2017","London","36148"
"2007","Scotland","12244"
"2018","South West","24909"
"2011","West Midlands","11502"
"2019","South West","13218"
"2009","South West","31097"
"2020","North West","12141"
"2006","London","27247"
